Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Andhra Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24150ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Andhra_Pradesh_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Andhra Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24151ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Andhra_Pradesh_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Net State Value Added by economic activity at constant (2011-12) pricesfor 2011-12 to 2023-24 - Andhra Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24152ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Andhra_Pradesh_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Andhra Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24153ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Andhra_Pradesh_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2022-23- Arunachal Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,01 Aug 2024,SDPAFY24154ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Arunachal_Pradesh_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Gross State Value Added by economic activity at current prices for 2011-12 to 2022-23 - Arunachal Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,01 Aug 2024,SDPAFY24155ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Arunachal_Pradesh_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2022-23 - Arunachal Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,01 Aug 2024,SDPAFY24156ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Arunachal_Pradesh_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Net State Value Added by economic activity at current prices for 2011-12 to 2022-23 - Arunachal Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,01 Aug 2024,SDPAFY24157ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Arunachal_Pradesh_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Assam,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24158ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Assam_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Assam,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24159ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Assam_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Assam,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24160ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Assam_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Assam,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24161ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Assam_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
